iter	Passed	Remaining
0	137	137426
1	243	121306
2	373	124194
3	538	134052
4	698	138946
5	842	139539
6	975	138340
7	1119	138853
8	1283	141282
9	1428	141415
10	1611	144920
11	1802	148392
12	1957	148627
13	2138	150614
14	2301	151142
15	2438	149943
16	2564	148305
17	2682	146355
18	2841	146730
19	2965	145328
20	3081	143674
21	3218	143066
22	3333	141593
23	3461	140781
24	3607	140690
25	3716	139225
26	3842	138479
27	3947	137030
28	4082	136696
29	4227	136689
30	4371	136642
31	4492	135895
32	4604	134938
33	4737	134605
34	4873	134369
35	5044	135080
36	5184	134928
37	5317	134627
38	5458	134507
39	5584	134026
40	5747	134436
41	5894	134449
42	6052	134696
43	6199	134690
44	6390	135616
45	6573	136320
46	6698	135819
47	6828	135431
48	6975	135375
49	7102	134943
50	7215	134259
51	7322	133490
52	7437	132885
53	7579	132783
54	7717	132594
55	7856	132439
56	7999	132334
57	8145	132286
58	8280	132065
59	8423	131961
60	8566	131864
61	8712	131810
62	8864	131846
63	8989	131474
64	9103	130949
65	9246	130855
66	9397	130867
67	9566	131119
68	9735	131361
69	9888	131370
70	10033	131286
71	10194	131400
72	10341	131321
73	10471	131041
74	10587	130574
75	10721	130355
76	10839	129932
77	10975	129737
78	11101	129422
79	11235	129212
80	11359	128885
81	11494	128680
82	11630	128498
83	11768	128331
84	11881	127898
85	12015	127701
86	12142	127422
87	12268	127150
88	12398	126906
89	12536	126762
90	12682	126681
91	12812	126454
92	12947	126277
93	13126	126512
94	13278	126495
95	13411	126288
96	13546	126106
97	13708	126176
98	13850	126057
99	13979	125815
100	14118	125667
101	14279	125716
102	14409	125485
103	14533	125210
104	14677	125109
105	14821	125003
106	14989	125098
107	15187	125438
108	15319	125222
109	15470	125170
110	15615	125063
111	15752	124893
112	15876	124620
113	16023	124536
114	16230	124903
115	16408	125041
116	16578	125119
117	16730	125057
118	16880	124969
119	17025	124850
120	17170	124737
121	17295	124472
122	17416	124179
123	17593	124287
124	17763	124343
125	17920	124305
126	18015	123839
127	18150	123649
128	18281	123438
129	18420	123278
130	18522	122870
131	18646	122617
132	18772	122373
133	18919	122273
134	19053	122084
135	19164	121749
136	19293	121535
137	19438	121421
138	19568	121212
139	19667	120812
140	19767	120425
141	19897	120228
142	20027	120024
143	20155	119812
144	20296	119678
145	20424	119471
146	20576	119398
147	20705	119193
148	20817	118895
149	20932	118615
150	21080	118525
151	21226	118419
152	21349	118191
153	21499	118106
154	21634	117943
155	21777	117823
156	21924	117724
157	22087	117707
158	22225	117558
159	22367	117430
160	22499	117249
161	22655	117195
162	22846	117315
163	22999	117242
164	23105	116927
165	23240	116762
166	23395	116696
167	23560	116681
168	23737	116720
169	23862	116506
170	23991	116309
171	24117	116100
172	24242	115886
173	24358	115631
174	24467	115347
175	24605	115196
176	24742	115044
177	24890	114944
178	25004	114684
179	25116	114421
180	25236	114191
181	25348	113927
182	25496	113828
183	25637	113695
184	25751	113447
185	25902	113356
186	26061	113303
187	26172	113043
188	26329	112981
189	26462	112812
190	26602	112679
191	26733	112502
192	26841	112235
193	26987	112124
194	27160	112122
195	27300	111987
196	27440	111849
197	27556	111618
198	27690	111456
199	27805	111220
200	27918	110981
201	28060	110851
202	28195	110699
203	28319	110499
204	28446	110315
205	28593	110210
206	28727	110051
207	28857	109882
208	29034	109885
209	29173	109748
210	29286	109513
211	29429	109389
212	29572	109267
213	29700	109085
214	29818	108873
215	29946	108693
216	30079	108537
217	30191	108301
218	30326	108151
219	30454	107975
220	30580	107794
221	30711	107627
222	30858	107520
223	30967	107281
224	31113	107169
225	31217	106912
226	31325	106671
227	31469	106555
228	31609	106424
229	31758	106321
230	31904	106210
231	32029	106029
232	32160	105866
233	32253	105582
234	32384	105422
235	32554	105387
236	32682	105219
237	32811	105051
238	32981	105015
239	33092	104793
240	33206	104580
241	33323	104376
242	33442	104182
243	33547	103943
244	33653	103707
245	33767	103497
246	33923	103417
247	34038	103214
248	34149	102997
249	34284	102852
250	34426	102732
251	34541	102528
252	34677	102389
253	34801	102212
254	34926	102038
255	35045	101851
256	35170	101680
257	35331	101613
258	35483	101518
259	35601	101327
260	35714	101122
261	35861	101014
262	35980	100826
263	36072	100564
264	36221	100462
265	36393	100425
266	36533	100295
267	36752	100383
268	36868	100190
269	36995	100024
270	37102	99806
271	37263	99734
272	37415	99636
273	37545	99481
274	37657	99279
275	37768	99073
276	37905	98936
277	38055	98835
278	38206	98733
279	38349	98611
280	38479	98457
281	38649	98404
282	38773	98235
283	38884	98033
284	39006	97859
285	39153	97745
286	39343	97740
287	39500	97655
288	39668	97593
289	39806	97457
290	39997	97450
291	40168	97395
292	40336	97331
293	40493	97239
294	40832	97582
295	41020	97562
296	41182	97478
297	41340	97386
298	41513	97326
299	41665	97220
300	41869	97230
301	41990	97050
302	42133	96920
303	42293	96828
304	42434	96694
305	42594	96603
306	42711	96414
307	42828	96225
308	42972	96096
309	43122	95981
310	43285	95896
311	43408	95720
312	43548	95583
313	43686	95443
314	43837	95329
315	44008	95259
316	44163	95154
317	44299	95006
318	44444	94879
319	44557	94685
320	44681	94514
321	44825	94384
322	44963	94241
323	45080	94057
324	45220	93919
325	45355	93771
326	45491	93626
327	45615	93455
328	45791	93393
329	45931	93254
330	46055	93085
331	46219	92995
332	46371	92881
333	46511	92744
334	46653	92610
335	46765	92417
336	46890	92250
337	47037	92125
338	47203	92038
339	47363	91941
340	47527	91849
341	47685	91746
342	47835	91626
343	47980	91498
344	48087	91296
345	48239	91180
346	48363	91012
347	48495	90859
348	48640	90730
349	48770	90573
350	48897	90411
351	49024	90250
352	49130	90049
353	49250	89876
354	49374	89708
355	49535	89609
356	49681	89482
357	49796	89299
358	49912	89119
359	50021	88926
360	50199	88857
361	50365	88765
362	50502	88623
363	50611	88431
364	50744	88280
365	50873	88124
366	50971	87915
367	51121	87794
368	51274	87680
369	51402	87523
370	51523	87354
371	51658	87207
372	51822	87112
373	51938	86934
374	52064	86773
375	52197	86626
376	52323	86464
377	52450	86307
378	52597	86182
379	52767	86094
380	52874	85903
381	53020	85776
382	53165	85647
383	53300	85503
384	53432	85352
385	53597	85255
386	53778	85184
387	53916	85043
388	54100	84975
389	54243	84841
390	54407	84741
